ID;TTW;FeedMode;T_SP;Total Rich;Total Lean;O2 rich;CO rich;CO2 rich;NO rich;NO2 rich;NH3 rich;N2O rich;H2 rich;SO2 rich;C2H4 rich;C3H6 rich;C3H8 rich;CH4 rich;H2O rich;O2 lean;CO lean;CO2 lean;NO lean;NO2 lean;NH3 lean;N2O lean;H2 lean;SO2 lean;C2H4 lean;C3H6 lean;C3H8 lean;CH4 lean;H2O lean
32;200;3;387.94;25.06558;0;0.961789529;0.411225514;16.46718822;0.022987348;0;0;0;0;0;0;0.099136242;0;0;14.35332;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;200;3;388.89;26.41023;0;0.956447099;0.410045739;16.49247671;0.022673112;0;0;0;0;0;0;0.098144501;0;0;14.37126;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;200;3;389.53;29.78372;0;1.199404196;0.401929437;16.51180185;0.022738708;0;0;0;0;0;0;0.096933779;0;0;14.38124;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;200;3;389.84;30.03442;0;1.435894303;0.388095009;16.52230291;0.023816078;0;0;0;0;0;0;0.095376906;0;0;14.38179;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;200;3;389.84;28.11721;0;1.476329847;0.368870503;16.52007047;0.025988155;0;0;0;0;0;0;0.093774502;0;0;14.37022;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;200;3;389.53;26.05116;0;1.513131941;0.346370064;16.50480937;0.030664214;0;0;0;0;0;0;0.092331687;0;0;14.34739;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;200;3;389.21;22.93023;0;1.552488669;0.32658706;16.48429374;0.038409312;0;0;0;0;0;0;0.091410482;0;0;14.32208;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;200;3;388.89;21.74419;0;3.168499042;0.311205016;16.44745631;0.049931195;0;0;0;0;0;0;0.091055319;0;0;14.28705;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;200;3;388.26;21.17907;0;0.902506161;0.316131444;16.37581495;0.063640103;0;0;0;0;0;0;0.09198086;0;0;14.23694;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;200;3;387.62;21.46233;0;0;0.381629683;16.27773678;0.079162842;0;0;0;0;0;0;0.09340844;0;0;14.19876;0;0;0;0;0;0;0;0;0;0;0;0;0;0
